LOMMEL/WEBER/MEIJER PSLQ SCAN FOR V_QUAD
Date: 2026-04-05 11:02:26
Precision: 500 dps, coeff bound 10000
Lommel grid: 3591 points
Results: 124 relations found

  {'mu': -3.0, 'nu': 0.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): -44*S(-3.0,0.0,sqrt(11)/3) +9*1'}
  {'mu': -1.0, 'nu': -4.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): -1728*S(-1.0,-4.0,sqrt(11)/3) -119*1'}
  {'mu': -1.0, 'nu': -2.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): +4*S(-1.0,-2.0,sqrt(11)/3) +1*1'}
  {'mu': -1.0, 'nu': 2.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): +4*S(-1.0,2.0,sqrt(11)/3) +1*1'}
  {'mu': -1.0, 'nu': 4.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): -1728*S(-1.0,4.0,sqrt(11)/3) -119*1'}
  {'mu': 1.0, 'nu': -4.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): +108*S(1.0,-4.0,sqrt(11)/3) +11*1'}
  {'mu': 1.0, 'nu': 4.0, 'z': 'sqrt(11)/3', 'relation': 'FOUND (500dp): +108*S(1.0,4.0,sqrt(11)/3) +11*1'}
  {'mu': -6.0, 'nu': -3.0, 'z': '2', 'relation': 'FOUND (500dp): -512*S(-6.0,-3.0,2) +1*1'}
  {'mu': -6.0, 'nu': -1.0, 'z': '2', 'relation': 'FOUND (500dp): -1536*S(-6.0,-1.0,2) +1*1'}
  {'mu': -6.0, 'nu': 1.0, 'z': '2', 'relation': 'FOUND (500dp): -1536*S(-6.0,1.0,2) +1*1'}
  {'mu': -6.0, 'nu': 3.0, 'z': '2', 'relation': 'FOUND (500dp): -512*S(-6.0,3.0,2) +1*1'}
  {'mu': -5.0, 'nu': -2.0, 'z': '2', 'relation': 'FOUND (500dp): -192*S(-5.0,-2.0,2) +1*1'}
  {'mu': -5.0, 'nu': 2.0, 'z': '2', 'relation': 'FOUND (500dp): -192*S(-5.0,2.0,2) +1*1'}
  {'mu': -4.0, 'nu': -1.0, 'z': '2', 'relation': 'FOUND (500dp): -64*S(-4.0,-1.0,2) +1*1'}
  {'mu': -4.0, 'nu': 1.0, 'z': '2', 'relation': 'FOUND (500dp): -64*S(-4.0,1.0,2) +1*1'}
  {'mu': -3.0, 'nu': -4.0, 'z': '2', 'relation': 'FOUND (500dp): +36*S(-3.0,-4.0,2) +1*1'}
  {'mu': -3.0, 'nu': 0.0, 'z': '2', 'relation': 'FOUND (500dp): -16*S(-3.0,0.0,2) +1*1'}
  {'mu': -3.0, 'nu': 4.0, 'z': '2', 'relation': 'FOUND (500dp): +36*S(-3.0,4.0,2) +1*1'}
  {'mu': -2.0, 'nu': -3.0, 'z': '2', 'relation': 'FOUND (500dp): -32*S(-2.0,-3.0,2) -3*1'}
  {'mu': -2.0, 'nu': 3.0, 'z': '2', 'relation': 'FOUND (500dp): -32*S(-2.0,3.0,2) -3*1'}
  {'mu': -1.0, 'nu': -4.0, 'z': '2', 'relation': 'FOUND (500dp): +12*S(-1.0,-4.0,2) +1*1'}
  {'mu': -1.0, 'nu': -2.0, 'z': '2', 'relation': 'FOUND (500dp): +4*S(-1.0,-2.0,2) +1*1'}
  {'mu': -1.0, 'nu': 2.0, 'z': '2', 'relation': 'FOUND (500dp): +4*S(-1.0,2.0,2) +1*1'}
